Area,ED,Energy,SS,ResidueLength,PairNumber
5550.2,2218.99,-204.44,29,75,165
4320.77,2329.09,-981.12,3,61,184
10067.0,27913.4,203756000.0,60,194,1521
15419.0,85397.6,107082.0,95,301,3369
5300.46,2063.97,-1676.2,8,77,165
8359.68,15561.4,-2396.5,30,141,932
4919.01,1661.69,-872.15,5,70,131
4429.92,2367.67,-1228.7,4,63,184
4442.73,2622.25,-882.0,22,65,202
7997.31,26589.9,-2399.53,138,156,1521
4286.17,975.284,-1178.9,2,55,88
3844.22,1963.67,-393.765,9,43,161
9366.34,25547.0,-407.297,36,156,1364
3844.98,473.477,-920.56,3,36,35
8256.78,8785.25,2152.3,41,144,553
11522.9,40076.0,-3695.0,42,228,1878
10950.9,38996.6,-1174.51,200,193,2118
7890.51,6621.54,-263.311,222,109,400
10279.3,28817.3,-274.025,51,194,1521
7315.1,20919.0,-2358.0,71,121,1203
7334.49,12538.0,1162.54,151,123,726
8708.85,21603.5,-1008.27,184,145,1156
11019.5,65071.0,-8355.0,54,247,3453
3596.14,704.278,218.82,2,31,53
6942.83,5307.66,160177.0,199,107,346
9911.69,27489.1,-3897.41,59,194,1521
6102.98,10115.0,-2406.0,16,110,649
9597.41,30281.7,19829.4,38,171,1747
12129.4,51956.7,355537.0,151,218,2391
13642.4,135749.0,-2126.9,203,279,5626
13166.0,59792.6,-2568.27,113,224,2192
10669.5,15164.0,-4385.0,15,175,769
5422.87,5122.95,-2003.02,6,99,321
7831.32,13389.1,-551.835,280,170,771
5075.35,5590.0,-90.0,9,80,399
3624.99,564.308,-660.68,5,43,52
8271.82,13759.4,-3251.12,280,170,771
19881.5,345935.0,-11235.0,74,456,11275
6415.14,8107.78,-1831.4,12,108,549
3704.81,517.514,-763.64,7,43,52
11172.1,48737.0,-5984.0,176,233,2325
23747.7,563364.0,-14384.0,127,582,17702
8051.03,4738.13,-1974.88,36,131,271
11458.7,42317.6,-4992.03,155,227,2059
13886.9,141961.0,-1011.99,260,308,6057
19920.7,274550.0,2826.45,291,420,9137
10561.0,42692.0,-4742.0,16,200,2064
3696.4,552.479,-752.86,5,43,52
8814.29,16805.3,-1349.7,27,142,844
13092.3,62995.2,-1466.04,196,214,2600
9655.27,33050.9,-724.506,124,176,1922
6091.9,8049.21,-3380.3,5,106,549
6293.66,8113.14,-4294.0,10,106,549
13493.6,54449.0,-5902.0,35,248,2398
9681.7,35203.0,-5716.0,31,192,1871
5741.26,5235.64,-1832.5,21,99,372
3734.47,468.396,-845.42,3,36,35
3669.08,573.502,-51.098,15,43,52
5039.04,3139.86,-768.173,160,71,249
5289.18,3414.33,-1841.6,22,70,205
5413.82,2503.63,59.717,3,81,169
3785.45,403.513,1338.3,11,54,28
8292.36,19094.0,-3691.0,58,162,1206
4667.01,2265.47,-1662.7,11,71,188
4991.06,3018.2,-2086.7,4,65,202
7366.67,13966.5,-388.1,13,127,802
7188.81,9219.02,-1395.23,12,95,543
8365.09,33327.7,6437.12,101,148,1919
4597.1,2881.07,-487.52,35,65,202
4281.88,1332.33,-829.92,1,57,129
8765.28,12374.0,6693.96,110,128,693
3986.73,653.717,-784.51,17,58,43
12310.4,41739.0,-5500.0,146,264,1939
4275.53,1677.93,-338.07,8,61,134
23961.3,354096.0,-15114.0,116,561,11745
7222.11,7176.13,-931.233,11,95,427
8959.16,35224.7,-2551.45,25,148,1919
13806.9,96933.1,-3628.03,40,281,3974
6341.13,4304.58,-1688.13,50,86,205
3759.66,460.473,-924.98,1,36,35
11876.3,28896.3,-2.8681,48,178,1410
6188.48,5255.15,-612.18,7,105,371
17677.6,214089.0,-10454.0,104,397,7827
5969.02,2528.08,378.82,9,81,169
17030.5,158991.0,1907.3,81,359,6068
4018.95,2430.74,-292.62,28,63,184
8835.16,12120.4,-2472.18,64,128,693
4050.29,2172.9,1451780.0,189,54,165
11591.5,46807.7,-4494.34,121,215,2188
7858.72,13232.0,-3521.0,18,127,771
4992.12,2915.7,-915.193,105,67,224
8434.02,4783.16,96030600.0,27,131,271
4076.41,392.484,1079.5,11,54,28
8718.44,18428.8,-4944.2,15,146,891
4035.62,2393.19,-1070.5,24,63,184
4564.27,2106.25,337.15,9,75,165
7282.35,4095.81,-1254.31,87,101,249
4932.49,2953.64,-744.91,36,65,202
6118.85,3324.2,-1448.16,47,79,226
7928.27,9455.82,-1940.29,200,130,490
13897.0,96243.6,-2248.08,195,273,4429
9194.93,11572.0,-3629.0,42,162,589
8547.34,34198.6,-241.055,19,148,1919
6886.22,6727.0,-2902.0,6,99,316
3552.7,542.938,-284.17,14,43,52
8630.42,20379.7,-3458.88,172,163,1162
5812.36,7285.99,-532.855,80,93,545
8498.3,15941.0,-3609.0,28,142,765
9974.0,49758.0,-5555.0,19,179,2246
11192.7,51998.5,-840.645,132,209,2534
16359.7,191743.0,-9391.0,74,376,5854
4371.92,2434.65,-768.09,25,63,184
4199.1,505.741,168.69,28,65,35
26189.4,282293.0,-4360.42,299,540,8870
17892.2,156781.0,-7701.0,90,402,5751
11882.8,44128.9,-4758.65,163,223,2059
7873.68,9504.08,-2456.96,200,130,490
10368.0,67843.8,-3838.6,195,247,3373
