RMSD,Area,ED,Energy,SS,ResidueLength,PairNumber
3,12462.1,60594.3,-3668.59,32,247,2754
0,15337.3,121624,-5856,35,299,4918
5,9418.94,17629.7,-593.842,195,133,890
4,9331.73,11717.2,-1059.27,135,156,654
4,12768.7,72974.1,-1336.23,191,262,3211
1,3769.08,644.369,-615.49,24,50,42
0,16879.3,253730,-10642,71,381,9943
4,7529.7,13870.5,883.24,19,127,802
0,6251.57,2015,-2135,13,88,133
4,4409.96,1998.89,-896.817,112,66,166
2,14154.6,50705.5,8879840,56,262,2394
4,3767.83,490.415,-792.31,3,36,35
4,3837.42,546.149,-751.3,7,43,52
3,9036.04,35318.1,17604600,83,148,1919
1,5013.09,2798.99,-1647.2,120,77,244
1,12531.5,49541.9,-4556.35,226,262,2394
0,7508.44,17084,-2070,22,136,1016
3,5564.3,7845.93,-1158.4,15,99,583
3,16688.1,167683,-4386.72,55,320,6391
5,3693.77,563.966,23.181,13,43,52
0,15553.3,145531,-8265,45,345,5640
5,11500.7,60077.2,-2535.31,230,214,2600
3,14640.4,52628.8,-3409.96,127,223,2059
0,6667.66,4105,-2502,27,124,272
5,4756.15,6332.25,-338.92,17,67,481
4,5370.22,1776.78,-981.136,26,76,147
4,5664.16,2439.07,509.8,4,81,169
2,8273.85,26714.9,-3078.63,31,156,1364
2,12428.8,73400.6,-4521.05,30,249,3630
0,7666.97,8800,-4650,10,136,552
4,4149.79,1637.18,-426.46,8,61,134
2,4989.49,2055.45,-1084.1,10,75,165
4,7567.24,4632.73,-639.425,35,131,271
2,7182.08,4181.46,-1248.27,9,101,249
3,3630.7,537.088,-467.33,5,43,52
4,6046.53,7098.13,49171.8,79,93,545
3,11329.8,77046.4,56050.9,154,252,3882
5,9497.29,11781.7,-2325.64,229,139,587
1,4004.02,1571.01,-1059.9,9,61,134
0,6486.51,6004,-2014,11,85,342
2,6719.11,8757.76,-883.295,4,95,543
0,18884.2,304987,-10969,107,426,11419
4,3525.64,542.317,-691.77,5,43,52
0,5022.81,2826,-1546,10,80,226
5,12053.8,38470.6,487.327,41,235,1818
5,4761.75,2719.35,-981.53,15,65,202
3,13707.6,85530.9,-1570.54,52,291,3799
4,9471.82,26259.5,-1000.77,157,174,1415
5,5693.98,3131.75,-1937.08,52,86,205
4,8079.23,26161.5,-946.455,15,156,1521
4,10279.3,28817.3,-274.025,51,194,1521
1,6443.74,1525.08,-977.94,34,71,103
3,9161.12,28728.2,-1172.65,150,179,1626
3,6983.92,9009.9,-797.823,9,95,543
5,5867.56,1087.36,-1392.5,3,57,76
5,10759.9,27345.8,-3376.35,66,214,1469
0,6798.85,9089,-2855,22,141,592
4,3727.81,544.268,-616.29,7,43,52
5,5369.84,6743.44,-108.07,11,67,481
0,7905.92,8899,-1433,20,123,520
0,8087.36,21649,-5202,23,148,1205
0,16748.3,185838,-7232,176,379,5975
4,20957.8,408611,2057.43,96,467,14125
5,5293.18,4415.63,-938.87,15,85,346
3,13354.4,58028.7,-4461.86,117,224,2192
5,8866.68,19528.9,51998.2,44,119,973
4,3767.33,544.387,-519.7,7,43,52
2,3447.71,1948.55,-328.65,5,43,161
3,3439.03,680.875,236.07,5,31,53
3,4226.76,1681.94,-335.99,4,61,134
5,4640.94,6227.93,-306.8,21,67,481
4,9308.91,17019,-3708.12,29,172,973
4,3489.9,697.549,60.38,4,31,53
3,13813.5,85467.5,231.702,55,291,3799
3,13062.3,51693.8,-4644.84,139,223,2059
3,14855.3,164701,-3093.97,42,320,6391
5,4620.09,1769.35,-229.6,11,61,116
2,11954,69533.1,1355910000,96,247,3373
0,10016.9,47223,-4420,21,206,2252
0,8638.79,15592,-3924,32,149,848
5,3338.65,378.495,758.4,7,54,28
1,7917.46,13733.2,-2799.3,116,170,771
5,6000.57,1921.79,-1126.59,16,84,136
3,4318.76,1032.44,-487.27,28,62,102
2,15295,90866.2,73198.2,283,254,3973
5,13421.9,59982.9,-981.639,190,223,2822
4,15487.6,162881,56290,44,287,6171
3,15426.6,155500,2283.2,95,310,6737
2,6204.36,8094.09,-3917.5,9,106,549
4,16430.4,212322,1418990,257,336,8195
2,4002.66,1470.1,1343.19,159,52,133
5,9230.97,9759.55,1052670,24,154,557
5,4057.74,433.571,1137.9,11,54,28
4,3362.24,719.823,26.021,6,31,53
0,26064.8,656324,-15954,83,614,19827
0,9051.81,18105,-2767,108,166,940
2,7041.87,13393.7,-524.695,18,96,804
5,4332.37,646.972,-204.21,18,58,43
3,11572.1,45735,-4373.88,154,223,2059
1,11008,41874.7,-4924.39,143,227,2059
4,3485.85,669.096,150.46,7,31,53
4,3365.68,684.01,25.012,4,31,53
4,3673.88,535.077,-555.32,4,43,52
2,6341.13,4304.58,-1688.13,50,86,205
2,6075.74,4064.48,-1511.18,83,88,318
5,4406.18,2550.24,-656.75,28,63,184
3,14693.6,77799.8,-4001.24,126,223,2059
2,11987.9,73924.7,58265.5,26,249,3630
4,4134.53,1640.88,-700.97,9,61,134
4,5887.64,1091.13,-1666.3,6,57,76
2,8654.18,33037.8,112250,37,148,1919
5,11137.3,48337.2,-3724.85,85,190,2118
1,6768.24,7816.7,-2898.7,11,117,427
3,8671.43,14358.5,-1590.42,97,140,845
5,5313.02,4564.43,-1010.6,12,85,346
2,11074.3,58037.9,-905.925,321,217,2904
0,8485.82,15549,-1958,55,129,764
2,11042.6,34998,-521.478,31,208,1691
3,4782.75,553.177,304.58,20,65,35
1,9337.94,16925.5,-4096.21,95,183,931
3,7088.52,17547.1,-1661.5,13,128,1065
4,4741.81,3042.42,-241.018,155,71,249
3,10436.9,27043.6,41861.4,40,214,1469
0,13523.1,79116,-4672,30,328,3714
4,8694.16,10473,-2690.9,124,156,654
3,9813.28,24411.7,-799.383,43,177,1313
4,4550.35,6504.93,-230.25,28,68,481
2,5512.16,7519.15,-1074.3,56,104,457
5,4027.07,2246.76,-731,23,63,184
3,9620.49,30353,72669.1,223,171,1747
4,4351.59,2368,-654.31,21,63,184
3,8354.67,12009.4,-1639.51,64,128,693
4,12538.3,38008.7,-2063.25,205,225,1755
1,5474.88,4049.53,-1004.7,12,85,267
4,5749.09,1073.33,-1308,6,57,76
3,13242.8,84999.8,-1467.28,51,291,3799
3,9684.78,24393,6187.2,41,177,1313
5,3860,574.77,-249.4,15,43,52
5,4940.41,6615.62,-339.7,12,67,481
0,12756.9,39217,-3799,50,201,1258
1,6178.98,7775.41,-1811,23,102,517
4,15580.2,211637,440473,277,336,8195
3,4350.47,2168.95,-1429.1,13,71,188
4,3739.67,547.837,-680.76,5,43,52
5,9610.83,22964.3,-2793.44,36,176,1313
3,4164.27,2338.53,-1200.4,15,63,184
4,3824.03,574.734,-519.26,5,43,52
2,5967.08,4125.18,-1276.05,82,88,318
4,8765.28,12374,6693.96,110,128,693
3,5902.5,13188,-1520.6,16,103,883
5,13003.1,60834.4,-396.034,43,246,2754
5,3681.45,454.576,-558.39,1,36,35
