Area,ED,Energy,SS,ResidueLength,PairNumber
12462.1,60594.3,-3668.59,32,247,2754
15337.3,121624.0,-5856.0,35,299,4918
9418.94,17629.7,-593.842,195,133,890
9331.73,11717.2,-1059.27,135,156,654
12768.7,72974.1,-1336.23,191,262,3211
3769.08,644.369,-615.49,24,50,42
16879.3,253730.0,-10642.0,71,381,9943
7529.7,13870.5,883.24,19,127,802
6251.57,2015.0,-2135.0,13,88,133
4409.96,1998.89,-896.817,112,66,166
14154.6,50705.5,8879840.0,56,262,2394
3767.83,490.415,-792.31,3,36,35
3837.42,546.149,-751.3,7,43,52
9036.04,35318.1,17604600.0,83,148,1919
5013.09,2798.99,-1647.2,120,77,244
12531.5,49541.9,-4556.35,226,262,2394
7508.44,17084.0,-2070.0,22,136,1016
5564.3,7845.93,-1158.4,15,99,583
16688.1,167683.0,-4386.72,55,320,6391
3693.77,563.966,23.181,13,43,52
15553.3,145531.0,-8265.0,45,345,5640
11500.7,60077.2,-2535.31,230,214,2600
14640.4,52628.8,-3409.96,127,223,2059
6667.66,4105.0,-2502.0,27,124,272
4756.15,6332.25,-338.92,17,67,481
5370.22,1776.78,-981.136,26,76,147
5664.16,2439.07,509.8,4,81,169
8273.85,26714.9,-3078.63,31,156,1364
12428.8,73400.6,-4521.05,30,249,3630
7666.97,8800.0,-4650.0,10,136,552
4149.79,1637.18,-426.46,8,61,134
4989.49,2055.45,-1084.1,10,75,165
7567.24,4632.73,-639.425,35,131,271
7182.08,4181.46,-1248.27,9,101,249
3630.7,537.088,-467.33,5,43,52
6046.53,7098.13,49171.8,79,93,545
11329.8,77046.4,56050.9,154,252,3882
9497.29,11781.7,-2325.64,229,139,587
4004.02,1571.01,-1059.9,9,61,134
6486.51,6004.0,-2014.0,11,85,342
6719.11,8757.76,-883.295,4,95,543
18884.2,304987.0,-10969.0,107,426,11419
3525.64,542.317,-691.77,5,43,52
5022.81,2826.0,-1546.0,10,80,226
12053.8,38470.6,487.327,41,235,1818
4761.75,2719.35,-981.53,15,65,202
13707.6,85530.9,-1570.54,52,291,3799
9471.82,26259.5,-1000.77,157,174,1415
5693.98,3131.75,-1937.08,52,86,205
8079.23,26161.5,-946.455,15,156,1521
10279.3,28817.3,-274.025,51,194,1521
6443.74,1525.08,-977.94,34,71,103
9161.12,28728.2,-1172.65,150,179,1626
6983.92,9009.9,-797.823,9,95,543
5867.56,1087.36,-1392.5,3,57,76
10759.9,27345.8,-3376.35,66,214,1469
6798.85,9089.0,-2855.0,22,141,592
3727.81,544.268,-616.29,7,43,52
5369.84,6743.44,-108.07,11,67,481
7905.92,8899.0,-1433.0,20,123,520
8087.36,21649.0,-5202.0,23,148,1205
16748.3,185838.0,-7232.0,176,379,5975
20957.8,408611.0,2057.43,96,467,14125
5293.18,4415.63,-938.87,15,85,346
13354.4,58028.7,-4461.86,117,224,2192
8866.68,19528.9,51998.2,44,119,973
3767.33,544.387,-519.7,7,43,52
3447.71,1948.55,-328.65,5,43,161
3439.03,680.875,236.07,5,31,53
4226.76,1681.94,-335.99,4,61,134
4640.94,6227.93,-306.8,21,67,481
9308.91,17019.0,-3708.12,29,172,973
3489.9,697.549,60.38,4,31,53
13813.5,85467.5,231.702,55,291,3799
13062.3,51693.8,-4644.84,139,223,2059
14855.3,164701.0,-3093.97,42,320,6391
4620.09,1769.35,-229.6,11,61,116
11954.0,69533.1,1355910000.0,96,247,3373
10016.9,47223.0,-4420.0,21,206,2252
8638.79,15592.0,-3924.0,32,149,848
